depth	min	max	median	wmean
50	1179.6	1299.9	1268.2	1257.2
52	1212.7	1483.1	1325.1	1334.3
54	1233.4	1688.9	1385.5	1409.1
56	1248.7	1901.1	1446.4	1483.8
58	1258.7	2115.4	1509.1	1558.7
60	1264.8	2326	1571.2	1633.7
62	1336.6	2365	1660.7	1716.3
64	1376.5	2422.2	1757.7	1799.1
66	1407.1	2492.3	1849.7	1882
68	1434.5	2592.4	1935.5	1964.1
70	1456.1	2732.5	2016.4	2045.7
72	1555.5	2764.4	2097.5	2120.7
74	1609.5	2799.3	2188.3	2196.3
76	1652.8	2846.3	2281.2	2271.3
78	1691.8	2913.1	2372.2	2346.9
80	1721.2	3009.2	2454.1	2421
82	1825.5	3031.8	2526.7	2493.8
84	1920.8	3055.9	2603.9	2567.6
86	1987	3090.8	2687	2641
88	2041.6	3138.7	2769.3	2714.9
90	2083.3	3214.3	2847.1	2788.3
92	2295.9	3226.7	2911.5	2867.4
94	2504.5	3241.6	2976	2946.2
96	2697.3	3261.5	3040.7	3025.3
98	2870.6	3292	3112.4	3105.5
100	2971.9	3345.1	3191	3185.5
102	3222.5	3637.9	3387.1	3397.9
104	3246.2	4213.1	3550.8	3606.5
106	3259.9	4791.1	3718.3	3815.5
108	3269.2	5378.1	3887.2	4024.4
110	3275.6	5971.3	4055.9	4232.5
112	3413.8	6160.3	4294.3	4450.2
114	3495.6	6470.4	4531.4	4667.3
116	3558.2	6772.6	4759.1	4884.2
118	3609.9	7101.9	4975.5	5098.2
120	3651.9	7543.9	5178.1	5308.6
122	3888.5	7770	5415.3	5541.2
124	4047.8	8086.4	5662.7	5774.1
126	4164.2	8415.4	5910.9	6006.5
128	4261.5	8792.1	6142.4	6237
130	4352.3	9202.6	6349.3	6465.8
132	4613.9	9347.1	6548.3	6691.5
134	4830.9	9473.6	6786.5	6920.2
136	5004	9698.6	7022.5	7148.7
138	5155.6	9951.9	7253.4	7377.1
140	5282.5	10316.3	7480.7	7598.8
142	5543.4	10480.1	7728.9	7823.5
144	5783.5	10648.9	7976.9	8048.1
146	5931.3	10853.9	8215	8271.9
148	6073.9	11128.5	8434	8497.2
150	6181.9	11480.3	8653.6	8720.8
152	6440.2	11614.5	8882	8945.5
154	6618.4	11790.7	9122.5	9170
156	6780.6	12023.1	9360.2	9394.2
158	6917.8	12255.8	9605	9618.7
160	7037.5	12588.5	9843	9835.2
162	7390.4	12698.2	10084.3	10082
164	7679	12796.5	10328.4	10326.2
166	7901.4	12926	10578.4	10571.1
168	8114.7	13110.7	10834.9	10820.8
170	8283.1	13316.6	11121.7	11072.2
172	8591.9	13416.2	11351.9	11298.1
174	8910.9	13528.3	11612	11525.4
176	9146.1	13656.6	11842.3	11749.9
178	9359.9	13829.9	12069.5	11975.7
180	9474.6	14081.2	12304.1	12201.8
182	10051.7	14127	12545	12451.4
184	10551.4	14193.6	12813	12702.3
186	10953.4	14271.7	13086	12951.9
188	11277	14385.3	13353.2	13202
190	11547.4	14570.3	13608.9	13452.4
192	12133.8	14605.5	13780.8	13662.1
194	12701.5	14657.8	13947.7	13871.9
196	13253.6	14716.5	14116.6	14082.8
198	13772.5	14790.6	14291.4	14295.7
200	14147	14921.9	14485.9	14507.8
202	14291.8	14970.6	14553.9	14582.9
204	14362.6	15044.7	14631.4	14657.8
206	14403.2	15150.7	14705.4	14731.8
208	14426.5	15322.8	14771.9	14805.1
210	14445.8	15517.4	14836.1	14878.5
212	14500.6	15576.3	14899.8	14942
214	14535.2	15641.7	14965.5	15004.9
216	14564.4	15741.9	15029.8	15066.8
218	14589.7	15838.6	15089.2	15127.7
220	14606.7	15955.6	15144.3	15187.7
222	14658.3	16020.5	15204.7	15247.8
224	14701.7	16080.4	15266.6	15307.5
226	14739.8	16162.2	15326.3	15366.9
228	14768.1	16251	15383.5	15426
230	14797	16366.1	15437.1	15484.8
232	14855.8	16410.9	15499.4	15545.8
234	14906.6	16477.6	15563.2	15606.1
236	14945.1	16553.4	15628.3	15667.5
238	14983.9	16626.1	15689.7	15728.7
240	15012.7	16740.9	15748.5	15789.8
242	15067.9	16784.3	15815.3	15848.5
244	15115.6	16826	15876.1	15907.6
246	15156.9	16879.7	15934.9	15966
248	15193	16952.3	15994.3	16025.1
250	15225.8	17045.1	16052.7	16083.6
252	15289.9	17093.5	16117.3	16146.6
254	15356.1	17150.7	16183.3	16210.6
256	15404.5	17218.5	16251.5	16273.8
258	15449.7	17297.4	16314.4	16337.3
260	15480.4	17397	16372.8	16399.6
262	15548.1	17450.7	16438.1	16460.4
264	15596.8	17504.8	16498.2	16520.3
266	15642.7	17572.6	16560.2	16581
268	15689.5	17640.7	16620.1	16641.8
270	15730.7	17718.3	16681.9	16702.4
272	15808.6	17761.8	16743.7	16764.1
274	15883	17805.6	16802.5	16826.8
276	15941.3	17865.2	16864.7	16889.1
278	15987.1	17928.8	16930.6	16951.5
280	16033.6	18002.7	16992.9	17013.2
282	16112.2	18044.6	17060.1	17075.7
284	16179.1	18082.8	17126.6	17138.4
286	16240.1	18138.1	17195.5	17202.2
288	16294.9	18202.1	17261.7	17265.7
290	16340.9	18264.4	17322.6	17328.4
292	16411.3	18291.8	17386.1	17388.4
294	16473.9	18335.3	17449.4	17447.7
296	16531.5	18387.4	17511.5	17508.2
298	16587.4	18443	17580.7	17568
300	16638.5	18507.4	17644.6	17627.7
302	16720.8	18544.1	17703.7	17689.3
304	16791.7	18576.3	17769.5	17750.2
306	16842.9	18621.3	17832.9	17812.6
308	16890	18678.7	17900.9	17873.8
310	16930.5	18748.7	17965	17935.7
312	17022.5	18777.1	18022.5	17996.3
314	17106.1	18806.9	18081.7	18056
316	17178.1	18846.5	18141.6	18116.4
318	17247.2	18897.5	18205	18177
320	17307.7	18959.1	18265.7	18236.4
322	17395.5	18984.3	18328.1	18297.9
324	17477.7	19016.1	18388.6	18359.8
326	17553.7	19054.7	18455.2	18421.4
328	17616.2	19094.2	18521.7	18482.8
330	17665	19153.4	18582.1	18543.6
332	17788.8	19172.3	18635.8	18600.2
334	17895.8	19193.9	18690.5	18657.8
336	17979.9	19227.7	18746.8	18715.2
338	18041	19267.9	18808	18773.1
340	18089.3	19321.9	18862.2	18830.3
342	18243.2	19339.8	18914.3	18891
344	18393.8	19362.3	18966.8	18952.3
346	18523.9	19397.7	19022	19013.8
348	18621.6	19438.3	19083.4	19075.4
350	18689	19497.4	19145.9	19136.6
352	18864	19530.7	19196.7	19200.9
354	19014.4	19578.3	19251.9	19267.5
356	19101.4	19640.7	19315.6	19335.2
358	19155.8	19748	19382.4	19403.8
360	19189	19891.6	19445.1	19471.9
362	19235.4	19962.5	19511	19534.9
364	19263.7	20048	19573.5	19597.6
366	19284.3	20172.4	19633.1	19661.2
368	19310.1	20318.1	19686.5	19725
370	19326.4	20473	19741	19788.2
372	19379.3	20530.8	19806.5	19852.3
374	19417.3	20604	19872.5	19915.7
376	19443.1	20707.3	19934.1	19979.2
